Country,Confirmed Cases,Deaths
Afghanistan,5,
Albania,10,
Algeria,20,
Andorra,1,
Argentina,19,1
Armenia,1,
Australia,133,3
Austria,182,
Azerbaijan,11,
Bahrain,110,
Bangladesh,3,
Belarus,9,
Belgium,267,
Bhutan,1,
Bosnia and Herzegovina,5,
Brazil,34,
Brunei,6,
Bulgaria,6,
Burkina Faso,2,
Cambodia,3,
Cameroon,2,
Canada,93,1
Chile,17,
China,"80,778",3158
Colombia,3,
Costa Rica,13,
Croatia,15,
Cyprus,3,
Czech Republic,63,
Denmark,262,
Dominican Republic,5,
Ecuador,15,
Egypt,59,1
Estonia,13,
Finland,40,
France ,1784,33
Georgia,23,
Germany,"1,565",2
Greece,89,
Hungary,12,
Iceland,69,
India,62,
Indonesia,27,
Iraq,71,7
Ireland,34,
Islamic Republic of Iran,8042,291
Israel,75,
Italy,"10,149",631
Japan,582,12
Jordan,1,
Kuwait ,69,
Latvia ,8,
Lebanon,52,1
Liechtenstein,1,
Lithuania,3,
Luxembourg,7,
Malaysia ,129,
Maldives,6,
Malta,5,
Mexico,7,
Moldova,3,
Monaco,1,
Mongolia,1,
Morocco,3,1
Nepal,1,
Netherlands,382,4
New Zealand,5,
Nigeria,2,
North Macedonia,7,
Norway,400,
Oman,18,
Pakistan,18,
Palestine,29,
Panama,8,1
Paraguay,5,
Peru,11,
Philippines,33,1
Poland,22,
Portugal,41,
Qatar,24,
Romania,29,
Russia,20,
San Marino,60,2
Saudi Arabia,20,
Senegal,4,
Serbia,5,
Singapore,166,
Slovakia,7,
Slovenia,34,
South Africa,7,
South Korea,"7,755",61
Spain,"1,695",36
Sri Lanka ,1,
Sweden,355,
Switzerland,497,3
Taiwan,47,1
Thailand,53,1
Togo,1,
Tunisia,5,
UK,382,6
Ukraine,1,
United Arab Emirates ,74,
US,"1,023",30
Vatican,1,
Vietnam,34,
Turkey,1,
Jamaica,1,
Democratic Republic of Congo,1,
Bolivia,2,
Diamond Cruise,696,7
Hong Kong,121,3
Macau,10,
Faroe Islands,2,
Saint Martin,2,
Saint Barthelemy,1,
Gibraltar,1,
Martinique,2,
French Guiana,5,
Channel Islands,1,
